id,task,question,target,prob,extremity,upper,lower,p100,dv,ea,focal,foil,support,pairing,coeff,knowledge,age,gender,block
1,0,1,1,.2,.30000001,,.2,0,-1.3862944,,30,10,1.0986123,1,.47643021,5,53,2,1
1,1,1,1,.30000001,.19999999,,.30000001,0,-.84729779,,30,10,1.0986123,2,.74549955,5,53,2,2
1,0,2,1,.2,.30000001,,.2,0,-1.3862944,,20,30,-.4054651,1,.47643021,5,53,2,1
1,1,2,1,.30000001,.19999999,,.30000001,0,-.84729779,,20,30,-.4054651,2,.74549955,5,53,2,2
1,0,3,1,.1,.40000001,,.1,0,-2.1972246,,30,100,-1.2039728,1,.47643021,5,53,2,1
1,1,3,1,.2,.30000001,,.2,0,-1.3862944,,30,100,-1.2039728,2,.74549955,5,53,2,2
1,0,4,1,.30000001,.19999999,,.30000001,0,-.84729779,3.4000001,30,70,-.84729785,1,.47643021,5,53,2,1
1,1,4,1,.40000001,.099999994,,.40000001,0,-.40546513,,30,70,-.84729785,2,.74549955,5,53,2,2
1,0,5,1,.69999999,.19999999,.69999999,,0,.84729779,,30,50,-.51082563,1,.47643021,5,53,2,1
1,1,5,1,.69999999,.19999999,.69999999,,0,.84729779,,30,50,-.51082563,2,.74549955,5,53,2,2
1,0,6,1,.30000001,.19999999,,.30000001,0,-.84729779,,20,10,.69314718,1,.47643021,5,53,2,1
1,1,6,1,.30000001,.19999999,,.30000001,0,-.84729779,,20,10,.69314718,2,.74549955,5,53,2,2
1,0,7,1,.89999998,.39999998,.89999998,,0,2.1972244,,100,10,2.3025851,1,.47643021,5,53,2,1
1,1,7,1,.89999998,.39999998,.89999998,,0,2.1972244,6,100,10,2.3025851,2,.74549955,5,53,2,2
1,0,8,1,.40000001,.099999994,,.40000001,0,-.40546513,,70,10,1.9459101,1,.47643021,5,53,2,1
1,1,8,1,.69999999,.19999999,.69999999,,0,.84729779,5.0999999,70,10,1.9459101,2,.74549955,5,53,2,2
1,0,9,1,.2,.30000001,,.2,0,-1.3862944,,10,50,-1.6094379,1,.47643021,5,53,2,1
1,1,9,1,.2,.30000001,,.2,0,-1.3862944,4,10,50,-1.6094379,2,.74549955,5,53,2,2
1,0,10,1,.30000001,.19999999,,.30000001,0,-.84729779,5.6999998,20,100,-1.6094379,1,.47643021,5,53,2,1
1,1,10,1,.1,.40000001,,.1,0,-2.1972246,,20,100,-1.6094379,2,.74549955,5,53,2,2
1,0,11,1,.5,0,,,0,0,,70,20,1.2527629,1,.47643021,5,53,2,1
1,1,11,1,.89999998,.39999998,.89999998,,0,2.1972244,,70,20,1.2527629,2,.74549955,5,53,2,2
1,0,12,1,.2,.30000001,,.2,0,-1.3862944,,50,20,.91629076,1,.47643021,5,53,2,1
1,1,12,1,.40000001,.099999994,,.40000001,0,-.40546513,,50,20,.91629076,2,.74549955,5,53,2,2
1,0,13,1,.40000001,.099999994,,.40000001,0,-.40546513,,70,100,-.35667494,1,.47643021,5,53,2,1
1,1,13,1,.40000001,.099999994,,.40000001,0,-.40546513,,70,100,-.35667494,2,.74549955,5,53,2,2
1,0,14,1,.2,.30000001,,.2,0,-1.3862944,3.0999999,50,100,-.69314718,1,.47643021,5,53,2,1
1,1,14,1,.30000001,.19999999,,.30000001,0,-.84729779,,50,100,-.69314718,2,.74549955,5,53,2,2
1,0,15,1,.1,.40000001,,.1,0,-2.1972246,,50,70,-.33647224,1,.47643021,5,53,2,1
1,1,15,1,.5,0,,,0,0,,50,70,-.33647224,2,.74549955,5,53,2,2
2,0,1,1,.029999999,.47,,.029999999,0,-3.4760988,,5,30,-1.7917595,3,1.9036022,8,26,1,1
2,1,1,1,0,.5,,0,1,-5.9788857,,5,30,-1.7917595,4,1.5865653,8,26,1,2
2,0,2,1,.60000002,.10000002,.60000002,,0,.40546522,,10,5,.69314718,3,1.9036022,8,26,1,1
2,1,2,1,.80000001,.30000001,.80000001,,0,1.3862945,,10,5,.69314718,4,1.5865653,8,26,1,2
2,0,3,1,0,.5,,0,1,-5.9788857,6.8000002,5,100,-2.9957323,3,1.9036022,8,26,1,1
2,1,3,1,0,.5,,0,1,-5.9788857,,5,100,-2.9957323,4,1.5865653,8,26,1,2
2,0,4,1,0,.5,,0,1,-5.9788857,,5,60,-2.4849067,3,1.9036022,8,26,1,1
2,1,4,1,0,.5,,0,1,-5.9788857,7,5,60,-2.4849067,4,1.5865653,8,26,1,2
2,0,5,1,0,.5,,0,1,-5.9788857,,5,50,-2.3025851,3,1.9036022,8,26,1,1
2,1,5,1,0,.5,,0,1,-5.9788857,,5,50,-2.3025851,4,1.5865653,8,26,1,2
2,0,6,1,.050000001,.44999999,,.050000001,0,-2.9444389,6.3000002,10,30,-1.0986123,3,1.9036022,8,26,1,1
2,1,6,1,.050000001,.44999999,,.050000001,0,-2.9444389,,10,30,-1.0986123,4,1.5865653,8,26,1,2
2,0,7,1,.89999998,.39999998,.89999998,,0,2.1972244,,100,30,1.2039728,3,1.9036022,8,26,1,1
2,1,7,1,.89999998,.39999998,.89999998,,0,2.1972244,,100,30,1.2039728,4,1.5865653,8,26,1,2
2,0,8,1,.80000001,.30000001,.80000001,,0,1.3862945,,60,30,.69314718,3,1.9036022,8,26,1,1
2,1,8,1,.80000001,.30000001,.80000001,,0,1.3862945,,60,30,.69314718,4,1.5865653,8,26,1,2
2,0,9,1,.050000001,.44999999,,.050000001,0,-2.9444389,,30,50,-.51082563,3,1.9036022,8,26,1,1
2,1,9,1,.050000001,.44999999,,.050000001,0,-2.9444389,,30,50,-.51082563,4,1.5865653,8,26,1,2
2,0,10,1,0,.5,,0,1,-5.9788857,,10,100,-2.3025851,3,1.9036022,8,26,1,1
